date_time,series,value
2023-06-13 12:07:43,spec11,1022
2023-06-13 12:07:43,spec20,1044
2023-06-13 12:07:43,spec9,1020
2023-06-13 12:07:43,spec8,1019
2023-06-13 12:07:43,spec7,1019
2023-06-13 12:07:43,spec6,1019
2023-06-13 12:07:43,spec5,1020
2023-06-13 12:07:43,spec4,1021
2023-06-13 12:07:43,spec3,1022
2023-06-13 12:07:43,spec2,1024
2023-06-13 12:07:43,spec1,1026
2023-06-13 12:07:43,spec25,1031
2023-06-13 12:07:43,spec24,1035
2023-06-13 12:07:43,spec23,1040
2023-06-13 12:07:43,spec22,1044
2023-06-13 12:07:43,spec21,1045
2023-06-13 12:09:35,spec18,1037
2023-06-13 12:09:35,spec19,1039
2023-06-13 12:09:35,spec20,1041
2023-06-13 12:09:35,spec21,1042
2023-06-13 12:09:35,spec22,1041
2023-06-13 12:09:35,spec23,1039
2023-06-13 12:09:35,spec24,1035
2023-06-13 12:09:35,spec25,1031
2023-06-13 12:09:35,spec17,1034
2023-06-13 12:09:35,spec9,1017
2023-06-13 12:09:35,spec1,1024
2023-06-13 12:09:35,spec2,1022
2023-06-13 12:09:35,spec3,1021
2023-06-13 12:09:35,spec4,1020
2023-06-13 12:09:35,spec5,1020
2023-06-13 12:09:35,spec6,1019
2023-06-13 12:09:35,spec7,1019
2023-06-13 12:09:35,spec8,1018
2023-06-13 12:09:35,spec10,1017
2023-06-13 12:09:35,spec11,1018
2023-06-13 12:09:35,spec12,1020
2023-06-13 12:09:35,spec13,1023
2023-06-13 12:09:35,spec14,1026
2023-06-13 12:09:35,spec15,1029
2023-06-13 12:09:35,spec16,1031
2023-06-13 12:11:27,spec1,1022
2023-06-13 12:11:27,spec19,1038
2023-06-13 12:11:27,spec20,1039
2023-06-13 12:11:27,spec21,1040
2023-06-13 12:11:27,spec22,1038
2023-06-13 12:11:27,spec23,1036
2023-06-13 12:11:27,spec24,1033
2023-06-13 12:11:27,spec25,1028
2023-06-13 12:11:27,spec18,1036
2023-06-13 12:11:27,spec10,1017
2023-06-13 12:11:27,spec2,1021
2023-06-13 12:11:27,spec3,1020
2023-06-13 12:11:27,spec4,1019
2023-06-13 12:11:27,spec5,1018
2023-06-13 12:11:27,spec6,1017
2023-06-13 12:11:27,spec7,1016
2023-06-13 12:11:27,spec8,1017
2023-06-13 12:11:27,spec9,1017
2023-06-13 12:11:27,spec11,1018
2023-06-13 12:11:27,spec12,1019
2023-06-13 12:11:27,spec13,1021
2023-06-13 12:11:27,spec14,1024
2023-06-13 12:11:27,spec15,1027
2023-06-13 12:11:27,spec16,1030
2023-06-13 12:11:27,spec17,1033
2023-06-13 12:13:18,spec14,1022
